,query_number_q_01,query_number_q_02,query_number_q_03,query_number_q_04,query_number_q_05,query_number_q_06,query_number_q_07,query_number_q_08,query_number_q_09,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
0,1,0,0,0,0,0,0,0,0,2,2,0,1
1,1,0,0,0,0,0,0,0,0,2,2,1,0
2,1,0,0,0,0,0,0,0,0,2,7,0,1
3,1,0,0,0,0,0,0,0,0,2,7,1,0
4,1,0,0,0,0,0,0,0,0,2,8,0,1
5,1,0,0,0,0,0,0,0,0,2,8,1,0
6,1,0,0,0,0,0,0,0,0,3,2,0,1
7,1,0,0,0,0,0,0,0,0,3,2,1,0
8,1,0,0,0,0,0,0,0,0,3,3,0,1
9,1,0,0,0,0,0,0,0,0,3,3,1,0
10,1,0,0,0,0,0,0,0,0,3,4,0,1
11,1,0,0,0,0,0,0,0,0,3,4,1,0
12,1,0,0,0,0,0,0,0,0,2,3,0,1
13,1,0,0,0,0,0,0,0,0,3,5,0,1
14,1,0,0,0,0,0,0,0,0,3,5,1,0
15,1,0,0,0,0,0,0,0,0,3,6,0,1
16,1,0,0,0,0,0,0,0,0,3,6,1,0
17,1,0,0,0,0,0,0,0,0,3,7,0,1
18,1,0,0,0,0,0,0,0,0,3,7,1,0
19,1,0,0,0,0,0,0,0,0,3,8,0,1
20,1,0,0,0,0,0,0,0,0,3,8,1,0
21,1,0,0,0,0,0,0,0,0,4,2,0,1
22,1,0,0,0,0,0,0,0,0,4,2,1,0
23,1,0,0,0,0,0,0,0,0,2,3,1,0
24,1,0,0,0,0,0,0,0,0,4,3,0,1
25,1,0,0,0,0,0,0,0,0,4,3,1,0
26,1,0,0,0,0,0,0,0,0,4,4,0,1
27,1,0,0,0,0,0,0,0,0,4,4,1,0
28,1,0,0,0,0,0,0,0,0,4,5,0,1
29,1,0,0,0,0,0,0,0,0,4,5,1,0
30,1,0,0,0,0,0,0,0,0,2,4,0,1
31,1,0,0,0,0,0,0,0,0,2,4,1,0
32,1,0,0,0,0,0,0,0,0,2,5,0,1
33,1,0,0,0,0,0,0,0,0,2,5,1,0
34,1,0,0,0,0,0,0,0,0,2,6,0,1
35,1,0,0,0,0,0,0,0,0,2,6,1,0
36,0,1,0,0,0,0,0,0,0,2,2,0,1
37,0,1,0,0,0,0,0,0,0,2,2,1,0
38,0,1,0,0,0,0,0,0,0,2,7,0,1
39,0,1,0,0,0,0,0,0,0,2,7,1,0
40,0,1,0,0,0,0,0,0,0,2,8,0,1
41,0,1,0,0,0,0,0,0,0,2,8,1,0
42,0,1,0,0,0,0,0,0,0,3,2,0,1
43,0,1,0,0,0,0,0,0,0,3,2,1,0
44,0,1,0,0,0,0,0,0,0,3,3,0,1
45,0,1,0,0,0,0,0,0,0,3,3,1,0
46,0,1,0,0,0,0,0,0,0,3,4,0,1
47,0,1,0,0,0,0,0,0,0,3,4,1,0
48,0,1,0,0,0,0,0,0,0,2,3,0,1
49,0,1,0,0,0,0,0,0,0,3,5,0,1
50,0,1,0,0,0,0,0,0,0,3,5,1,0
51,0,1,0,0,0,0,0,0,0,3,6,0,1
52,0,1,0,0,0,0,0,0,0,3,6,1,0
53,0,1,0,0,0,0,0,0,0,3,7,0,1
54,0,1,0,0,0,0,0,0,0,3,7,1,0
55,0,1,0,0,0,0,0,0,0,3,8,0,1
56,0,1,0,0,0,0,0,0,0,3,8,1,0
57,0,1,0,0,0,0,0,0,0,4,2,0,1
58,0,1,0,0,0,0,0,0,0,4,2,1,0
59,0,1,0,0,0,0,0,0,0,2,3,1,0
60,0,1,0,0,0,0,0,0,0,4,3,0,1
61,0,1,0,0,0,0,0,0,0,4,3,1,0
62,0,1,0,0,0,0,0,0,0,4,4,0,1
63,0,1,0,0,0,0,0,0,0,4,4,1,0
64,0,1,0,0,0,0,0,0,0,4,5,0,1
65,0,1,0,0,0,0,0,0,0,4,5,1,0
66,0,1,0,0,0,0,0,0,0,2,4,0,1
67,0,1,0,0,0,0,0,0,0,2,4,1,0
68,0,1,0,0,0,0,0,0,0,2,5,0,1
69,0,1,0,0,0,0,0,0,0,2,5,1,0
70,0,1,0,0,0,0,0,0,0,2,6,0,1
71,0,0,1,0,0,0,0,0,0,2,2,0,1
72,0,0,1,0,0,0,0,0,0,2,2,1,0
73,0,0,1,0,0,0,0,0,0,2,7,0,1
74,0,0,1,0,0,0,0,0,0,2,7,1,0
75,0,0,1,0,0,0,0,0,0,2,8,0,1
76,0,0,1,0,0,0,0,0,0,2,8,1,0
77,0,0,1,0,0,0,0,0,0,3,2,0,1
78,0,0,1,0,0,0,0,0,0,3,2,1,0
79,0,0,1,0,0,0,0,0,0,3,3,0,1
80,0,0,1,0,0,0,0,0,0,3,3,1,0
81,0,0,1,0,0,0,0,0,0,3,4,0,1
82,0,0,1,0,0,0,0,0,0,3,4,1,0
83,0,0,1,0,0,0,0,0,0,2,3,0,1
84,0,0,1,0,0,0,0,0,0,3,5,0,1
85,0,0,1,0,0,0,0,0,0,3,5,1,0
86,0,0,1,0,0,0,0,0,0,3,6,0,1
87,0,0,1,0,0,0,0,0,0,3,6,1,0
88,0,0,1,0,0,0,0,0,0,3,7,0,1
89,0,0,1,0,0,0,0,0,0,3,7,1,0
90,0,0,1,0,0,0,0,0,0,3,8,0,1
91,0,0,1,0,0,0,0,0,0,3,8,1,0
92,0,0,1,0,0,0,0,0,0,4,2,0,1
93,0,0,1,0,0,0,0,0,0,4,2,1,0
94,0,0,1,0,0,0,0,0,0,2,3,1,0
95,0,0,1,0,0,0,0,0,0,4,3,0,1
96,0,0,1,0,0,0,0,0,0,4,3,1,0
97,0,0,1,0,0,0,0,0,0,4,4,0,1
98,0,0,1,0,0,0,0,0,0,4,4,1,0
99,0,0,1,0,0,0,0,0,0,4,5,0,1
100,0,0,1,0,0,0,0,0,0,4,5,1,0
101,0,0,1,0,0,0,0,0,0,2,4,0,1
102,0,0,1,0,0,0,0,0,0,2,4,1,0
103,0,0,1,0,0,0,0,0,0,2,5,0,1
104,0,0,1,0,0,0,0,0,0,2,5,1,0
105,0,0,1,0,0,0,0,0,0,2,6,0,1
106,0,0,0,1,0,0,0,0,0,2,2,0,1
107,0,0,0,1,0,0,0,0,0,2,2,1,0
108,0,0,0,1,0,0,0,0,0,2,7,0,1
109,0,0,0,1,0,0,0,0,0,2,7,1,0
110,0,0,0,1,0,0,0,0,0,2,8,0,1
111,0,0,0,1,0,0,0,0,0,2,8,1,0
112,0,0,0,1,0,0,0,0,0,3,2,0,1
113,0,0,0,1,0,0,0,0,0,3,2,1,0
114,0,0,0,1,0,0,0,0,0,3,3,0,1
115,0,0,0,1,0,0,0,0,0,3,3,1,0
116,0,0,0,1,0,0,0,0,0,3,4,0,1
117,0,0,0,1,0,0,0,0,0,3,4,1,0
118,0,0,0,1,0,0,0,0,0,2,3,0,1
119,0,0,0,1,0,0,0,0,0,3,5,0,1
120,0,0,0,1,0,0,0,0,0,3,5,1,0
121,0,0,0,1,0,0,0,0,0,3,6,0,1
122,0,0,0,1,0,0,0,0,0,3,6,1,0
123,0,0,0,1,0,0,0,0,0,3,7,0,1
124,0,0,0,1,0,0,0,0,0,3,7,1,0
125,0,0,0,1,0,0,0,0,0,3,8,0,1
126,0,0,0,1,0,0,0,0,0,3,8,1,0
127,0,0,0,1,0,0,0,0,0,4,2,0,1
128,0,0,0,1,0,0,0,0,0,4,2,1,0
129,0,0,0,1,0,0,0,0,0,2,3,1,0
130,0,0,0,1,0,0,0,0,0,4,3,0,1
131,0,0,0,1,0,0,0,0,0,4,3,1,0
132,0,0,0,1,0,0,0,0,0,4,4,0,1
133,0,0,0,1,0,0,0,0,0,4,4,1,0
134,0,0,0,1,0,0,0,0,0,4,5,0,1
135,0,0,0,1,0,0,0,0,0,4,5,1,0
136,0,0,0,1,0,0,0,0,0,2,4,0,1
137,0,0,0,1,0,0,0,0,0,2,4,1,0
138,0,0,0,1,0,0,0,0,0,2,5,0,1
139,0,0,0,1,0,0,0,0,0,2,5,1,0
140,0,0,0,1,0,0,0,0,0,2,6,0,1
141,0,0,0,0,1,0,0,0,0,2,2,0,1
142,0,0,0,0,1,0,0,0,0,2,2,1,0
